2015-10-28 12:00:00 0.154 0.046
2015-11-02 12:00:00 0.168 0.05
2015-11-07 12:00:00 0.264 0.079
2015-11-12 12:00:00 0.263 0.079
2015-11-17 12:00:00 0.281 0.084
2015-11-22 12:00:00 0.297 0.089
2015-11-27 12:00:00 0.226 0.068
2015-12-02 12:00:00 0.275 0.083
2015-12-07 12:00:00 0.309 0.093
2015-12-12 12:00:00 0.281 0.084
2015-12-17 12:00:00 0.218 0.065
2015-12-22 12:00:00 0.203 0.061
2015-12-27 12:00:00 0.25 0.075
2016-01-01 12:00:00 0.204 0.061
2016-01-06 12:00:00 0.235 0.07
2016-01-11 12:00:00 0.207 0.062
2016-01-16 12:00:00 0.255 0.076
2016-01-21 12:00:00 0.265 0.08
2016-01-26 12:00:00 0.255 0.076
2016-01-31 12:00:00 0.268 0.081
2016-02-05 12:00:00 0.248 0.074
2016-02-10 12:00:00 0.217 0.065
2016-02-15 12:00:00 0.234 0.07
2016-02-20 12:00:00 0.183 0.055
2016-02-25 12:00:00 0.276 0.083
2016-03-02 12:00:00 0.337 0.101
2016-03-07 12:00:00 0.34 0.102
2016-03-12 12:00:00 0.4 0.12
2016-03-17 12:00:00 0.439 0.132
2016-03-22 12:00:00 0.246 0.074
2016-03-27 12:00:00 0.322 0.097
2016-04-01 12:00:00 0.637 0.191
2016-04-06 12:00:00 0.324 0.097
2016-04-11 12:00:00 0.602 0.181
2016-04-16 12:00:00 1.183 0.355
2016-04-21 12:00:00 0.332 0.1
2016-04-26 12:00:00 0.819 0.246
2016-05-01 12:00:00 0.413 0.124
2016-05-06 12:00:00 0.371 0.111
2016-05-11 12:00:00 0.957 0.287
2016-05-16 12:00:00 0.921 0.276
2016-05-21 12:00:00 0.645 0.194
2016-05-26 12:00:00 0.852 0.256
2016-05-31 12:00:00 1.733 0.52
2016-06-05 12:00:00 0.479 0.144
2016-06-10 12:00:00 0.598 0.18
2016-06-15 12:00:00 0.393 0.118
2016-06-20 12:00:00 0.549 0.165
2016-06-25 12:00:00 0.214 0.064
2016-06-30 12:00:00 0.137 0.041
2016-07-05 12:00:00 0.139 0.042
2016-07-10 12:00:00 0.299 0.09
2016-07-15 12:00:00 0.564 0.169
2016-07-20 12:00:00 0.453 0.136
2016-07-25 12:00:00 0.433 0.13
2016-07-30 12:00:00 0.608 0.182
2016-08-04 12:00:00 0.475 0.143
2016-08-09 12:00:00 0.672 0.202
2016-08-14 12:00:00 0.265 0.079
2016-08-19 12:00:00 0.364 0.109
2016-08-24 12:00:00 0.422 0.127
2016-08-29 12:00:00 0.474 0.142
2016-09-03 12:00:00 0.303 0.091
2016-09-08 12:00:00 0.522 0.157
2016-09-13 12:00:00 0.444 0.133
2016-09-18 12:00:00 0.469 0.141
2016-09-23 12:00:00 0.488 0.146
2016-09-28 12:00:00 0.679 0.204
2016-10-03 12:00:00 0.559 0.168
2016-10-08 12:00:00 0.381 0.114
2016-10-13 12:00:00 0.175 0.053
2016-10-18 12:00:00 0.205 0.062
2016-10-23 12:00:00 0.218 0.065
2016-10-28 12:00:00 0.231 0.069
2016-11-02 12:00:00 0.297 0.089
2016-11-07 12:00:00 0.152 0.046
2016-11-12 12:00:00 0.138 0.041
2016-11-17 12:00:00 0.191 0.057
2016-11-22 12:00:00 0.18 0.054
2016-11-27 12:00:00 0.142 0.043
2016-12-02 12:00:00 0.121 0.036
2016-12-07 12:00:00 0.161 0.048
2016-12-12 12:00:00 0.125 0.038
