2015-08-04 12:00:00 -0 0.275 0.028
2015-08-09 12:00:00 -0 0.334 0.033
2015-08-14 12:00:00 -0 0.157 0.016
2015-08-19 12:00:00 -0 0.31 0.031
2015-08-24 12:00:00 -0 0.292 0.029
2015-08-29 12:00:00 -0 0.209 0.021
2015-09-03 12:00:00 -0 0.446 0.045
2015-09-08 12:00:00 -0 0.51 0.051
2015-09-13 12:00:00 -0 0.552 0.055
2015-09-18 12:00:00 -0 0.316 0.032
2015-09-23 12:00:00 -0 0.278 0.028
2015-09-28 12:00:00 -0 0.356 0.036
2015-10-03 12:00:00 -0 0.294 0.029
2015-10-08 12:00:00 -0 0.373 0.037
2015-10-13 12:00:00 -0 0.318 0.032
2015-10-18 12:00:00 -0 0.251 0.025
2015-10-23 12:00:00 -0 0.332 0.033
2015-10-28 12:00:00 -0 0.261 0.026
2015-11-02 12:00:00 -0 0.175 0.018
2015-11-07 12:00:00 -0 0.225 0.022
2015-11-12 12:00:00 -0 0.17 0.017
2015-11-17 12:00:00 -0 0.186 0.019
2015-11-22 12:00:00 -0 0.377 0.038
2015-11-27 12:00:00 -0 0.314 0.031
2015-12-02 12:00:00 -0 0.494 0.049
2015-12-07 12:00:00 -0 0.408 0.041
2015-12-12 12:00:00 -0 0.358 0.036
2015-12-17 12:00:00 -0 0.297 0.03
2015-12-22 12:00:00 -0 0.227 0.023
2015-12-27 12:00:00 -0 0.277 0.028
2016-01-01 12:00:00 -0 0.357 0.036
2016-01-06 12:00:00 -0 0.277 0.028
2016-01-11 12:00:00 -0 0.459 0.046
2016-01-16 12:00:00 -0 0.305 0.03
2016-01-21 12:00:00 -0 0.292 0.029
2016-01-26 12:00:00 -0 0.309 0.031
2016-01-31 12:00:00 -0 0.275 0.027
2016-02-05 12:00:00 -0 0.21 0.021
2016-02-10 12:00:00 -0 0.526 0.053
2016-02-15 12:00:00 -0 0.653 0.065
2016-02-20 12:00:00 -0 0.235 0.023
2016-02-25 12:00:00 -0 0.399 0.04
2016-03-02 12:00:00 -0 0.233 0.023
2016-03-07 12:00:00 -0 0.192 0.019
2016-03-12 12:00:00 -0 0.457 0.046
2016-03-17 12:00:00 -0 0.225 0.022
2016-03-22 12:00:00 -0 0.297 0.03
2016-03-27 12:00:00 -0 0.275 0.028
2016-04-01 12:00:00 -0 0.346 0.035
2016-04-06 12:00:00 -0 0.173 0.017
2016-04-11 12:00:00 -0 0.173 0.017
2016-04-16 12:00:00 -0 1.46 0.146
2016-04-21 12:00:00 -0 0.926 0.093
2016-04-26 12:00:00 -0 1.032 0.103
2016-05-01 12:00:00 -0 0.515 0.052
2016-05-06 12:00:00 -0 1.377 0.138
2016-05-11 12:00:00 -0 0.78 0.078
2016-05-16 12:00:00 -0 0.915 0.091
2016-05-21 12:00:00 -0 1.436 0.144
2016-05-26 12:00:00 -0 1.679 0.168
2016-05-31 12:00:00 -0 0.314 0.031
2016-06-05 12:00:00 -0 2.39 0.239
2016-06-10 12:00:00 -0 0.393 0.039
2016-06-15 12:00:00 -0 0.124 0.012
2016-06-20 12:00:00 -0 0.255 0.025
2016-06-25 12:00:00 -0 0.125 0.012
2016-06-30 12:00:00 -0 0.165 0.016
2016-07-05 12:00:00 -0 0.38 0.038
2016-07-10 12:00:00 -0 0.422 0.042
2016-07-15 12:00:00 -0 0.203 0.02
2016-07-20 12:00:00 -0 0.33 0.033
2016-07-25 12:00:00 -0 0.23 0.023
2016-07-30 12:00:00 -0 0.112 0.011
2016-08-04 12:00:00 -0 0.216 0.022
2016-08-09 12:00:00 -0 0.184 0.018
2016-08-14 12:00:00 -0 0.383 0.038
2016-08-19 12:00:00 -0 0.558 0.056
2016-08-24 12:00:00 -0 0.45 0.045
2016-08-29 12:00:00 -0 0.369 0.037
2016-09-03 12:00:00 -0 0.549 0.055
2016-09-08 12:00:00 -0 0.337 0.034
2016-09-13 12:00:00 -0 0.48 0.048
2016-09-18 12:00:00 -0 0.365 0.037
2016-09-23 12:00:00 -0 0.372 0.037
2016-09-28 12:00:00 -0 0.2 0.02
2016-10-03 12:00:00 -0 0.257 0.026
2016-10-08 12:00:00 -0 0.209 0.021
2016-10-13 12:00:00 -0 0.176 0.018
2016-10-18 12:00:00 -0 0.167 0.017
